Task Name,Status,Priority,Due Date,Assignees,Tags,Estimated Time (hrs),Description
Create GitHub repository,To Do,Urgent,2026-06-07,,"phase-1,git",1,"Go to github.com, create private repo named english-buddy. Do NOT add README."
"Add .gitignore, README, Procfile, requirements.txt",To Do,Urgent,2026-06-07,,"phase-1,git",1,Use the files generated by Claude. Place in repo root.
Create folder structure (frontend/ backend/ static/),To Do,Urgent,2026-06-07,,"phase-1,git",0.5,"mkdir frontend backend static — move english_buddy.html to frontend/, server.py to backend/"
Push all existing files to GitHub,To Do,Urgent,2026-06-07,,"phase-1,git",0.5,"git add . && git commit -m ""Initial commit"" && git push -u origin main"
Create Supabase project (free tier),To Do,Urgent,2026-06-07,,"phase-1,auth",1,"Go to supabase.com, create new project, save URL and anon key to .env file"
Create Supabase users table,To Do,Urgent,2026-06-07,,"phase-1,auth",1,"Columns: id (uuid), email, plan (text default free), created_at. Enable RLS."
Create Supabase usage table,To Do,Urgent,2026-06-07,,"phase-1,auth",1,"Columns: id, user_id (fk), date (date), convo_count (int default 0)"
Add login screen to english_buddy.html,To Do,Urgent,2026-06-10,,"phase-1,auth,frontend",3,Email + password fields. Show on load if no session token. Use Supabase JS SDK.
Add signup screen to english_buddy.html,To Do,Urgent,2026-06-10,,"phase-1,auth,frontend",3,Email + password + name. Call supabase.auth.signUp(). Redirect to app on success.
Validate Supabase JWT in server.py on every /proxy call,To Do,Urgent,2026-06-10,,"phase-1,auth,backend",3,"Read Authorization header, verify JWT with Supabase secret. Return 401 if invalid."
Enforce 5 convos/day limit for free users in server.py,To Do,High,2026-06-14,,"phase-1,backend",2,"On each /proxy call: query usage table for today. If count>=5 and plan=free, return 429."
Create Stripe account and 2 products,To Do,High,2026-06-14,,"phase-1,payments",2,"Products: Learner $3/mo, Pro $8/mo. Get publishable key, secret key, webhook secret."
Add Stripe checkout redirect to english_buddy.html,To Do,High,2026-06-14,,"phase-1,payments,frontend",3,"Upgrade button calls server /create-checkout, redirects to Stripe hosted page."
Add /webhook route in server.py — update plan in Supabase,To Do,Urgent,2026-06-14,,"phase-1,payments,backend",4,Verify Stripe signature. On checkout.session.completed: update users.plan in Supabase.
Test Stripe payments end-to-end in test mode,To Do,Urgent,2026-06-14,,"phase-1,payments,testing",3,Use test card 4242 4242 4242 4242. Verify plan updates in Supabase after payment.
Deploy server.py to Railway,To Do,High,2026-06-14,,"phase-1,deploy",2,railway.app → New Project → Deploy from GitHub → select english-buddy repo.
Set environment variables in Railway dashboard,To Do,High,2026-06-14,,"phase-1,deploy",1,"Add: ANTHROPIC_API_KEY, SUPABASE_URL, SUPABASE_KEY, STRIPE_SECRET, STRIPE_WEBHOOK_SECRET, PORT"
Register domain englishbuddy.lk,To Do,High,2026-06-07,,"phase-1,deploy",0.5,Use domains.google.com or Cloudflare Registrar. ~$15/year.
Point domain DNS to Railway and enable HTTPS,To Do,High,2026-06-14,,"phase-1,deploy",1,Railway Settings → Custom Domain → add englishbuddy.lk → update DNS A record at registrar.
Set up GitHub Actions auto-deploy on push to main,To Do,Normal,2026-06-14,,"phase-1,deploy,git",2,Railway auto-deploys on push by default when connected to GitHub. Verify this works.
